,Symbol,2019Q2 Time,2019Q2 Date
0,A,TAS,2019-05-14
1,AAL,TAS,2019-04-26
2,AAP,TAS,2019-05-22
3,AAPL,TAS,2019-04-30
4,ABBV,TAS,2019-04-25
5,ABC,TAS,2019-05-02
6,ABMD,TAS,2019-05-02
7,ABT,TAS,2019-04-17
8,ACN,TAS,2019-06-27
9,ADBE,TAS,2019-06-18
10,ADI,TAS,2019-05-22
11,ADM,TAS,2019-04-26
12,ADP,TAS,2019-05-01
13,ADS,TAS,2019-04-25
14,ADSK,Time Not Supplied,2019-05-23
15,AEE,TAS,2019-05-09
16,AEP,TAS,2019-04-25
17,AES,TAS,2019-05-07
18,AFL,TAS,2019-04-25
19,AGN,TAS,2019-05-07
20,AIG,TAS,2019-05-06
21,AIV,TAS,2019-05-02
22,AIZ,TAS,2019-05-06
23,AJG,TAS,2019-04-25
24,AKAM,TAS,2019-04-30
25,ALB,TAS,2019-05-08
26,ALGN,TAS,2019-04-24
27,ALK,TAS,2019-04-25
28,ALL,TAS,2019-05-01
29,ALLE,TAS,2019-04-25
30,ALXN,TAS,2019-04-25
31,AMAT,TAS,2019-05-16
32,AMCR,NaN,NaN
33,AMD,TAS,2019-04-30
34,AME,TAS,2019-05-01
35,AMGN,TAS,2019-04-30
36,AMP,TAS,2019-04-24
37,AMT,TAS,2019-05-03
38,AMZN,TAS,2019-04-25
39,ANET,TAS,2019-05-02
40,ANSS,TAS,2019-05-01
41,ANTM,TAS,2019-04-24
42,AON,TAS,2019-04-26
43,AOS,TAS,2019-04-30
44,APA,TAS,2019-05-01
45,APD,TAS,2019-04-24
46,APH,TAS,2019-04-24
47,APTV,TAS,2019-05-02
48,ARE,TAS,2019-04-29
49,ATO,TAS,2019-05-07
50,ATVI,TAS,2019-05-02
51,AVB,TAS,2019-04-24
52,AVGO,After Market Close,2019-06-13
53,AVY,TAS,2019-04-24
54,AWK,TAS,2019-05-01
55,AXP,TAS,2019-04-18
56,AZO,TAS,2019-05-21
57,BA,TAS,2019-04-24
58,BAC,TAS,2019-04-16
59,BAX,Before Market Open,2019-04-25
60,BBY,TAS,2019-05-23
61,BDX,TAS,2019-05-09
62,BEN,TAS,2019-04-26
63,BF.B,NaN,NaN
64,BIIB,Before Market Open,2019-04-24
65,BK,TAS,2019-04-17
66,BKNG,After Market Close,2019-05-09
67,BKR,NaN,NaN
68,BLK,TAS,2019-04-16
69,BLL,TAS,2019-05-02
70,BMY,TAS,2019-04-25
71,BR,TAS,2019-05-07
72,BRK.B,NaN,NaN
73,BSX,TAS,2019-04-24
74,BWA,TAS,2019-04-25
75,BXP,TAS,2019-04-30
