,0,1,2,3,4,5,6,7,8
0,BAC,TAS,2019-07-17,TAS,2019-07-24,,,,
1,CHD,TAS,2019-07-31,TAS,2019-07-31,,,,
2,CTAS,TAS,2019-07-16,TAS,2019-09-24,,,,
3,DIS,Time Not Supplied,2019-08-05,TAS,2019-08-06,,,,
4,DOW,TAS,2019-07-25,Time Not Supplied,2019-07-25,,,,
5,DVA,TAS,2019-07-22,TAS,2019-08-01,,,,
6,FOXA,Time Not Supplied,2019-08-06,Time Not Supplied,2019-08-07,,,,
7,GPN,TAS,2019-07-30,TAS,2019-07-31,,,,
8,ILMN,TAS,2019-07-11,TAS,2019-07-29,,,,
9,KHC,TAS,2019-08-08,TAS,2019-08-13,,,,
10,MRO,TAS,2019-08-07,TAS,2019-08-07,,,,
11,NDAQ,TAS,2019-07-24,TAS,2019-07-24,,,,
12,PGR,TAS,2019-07-17,Before Market Open,2019-08-08,Before Market Open,2019-08-14,Before Market Open,2019-09-13
13,ROL,TAS,2019-07-24,TAS,2019-07-24,,,,
14,TMUS,TAS,2019-07-25,TAS,2019-07-25,,,,
15,WMB,TAS,2019-07-31,TAS,2019-07-31,,,,
