,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
60,BBY,13.2,-0.59,-5.39,3.97,-3.26,3 no,2020-05-25,,NaN
61,BDX,0.34,-3.17,1.39,-2.2,-11.54,3 no,2020-05-07,,NaN
62,BEN,-2.02,0.48,-1.73,-2.59,0.93,3 no,2020-04-30,,NaN
63,BF.B,,,,,,3 no,,,NaN
64,BIIB,-2.48,0.79,2.8,38.7,1.98,3 no,2020-04-22,-7.98,yes
65,BK,1.38,-7.0,0.6,1.44,-7.77,3 no,2020-04-16,7.54,yes
66,BKNG,-7.97,5.12,4.31,4.92,-3.89,1 yes,2020-05-07,,NaN
67,BKR,,,-1.77,2.88,-1.41,3 no,2020-04-22,5.88,yes
68,BLK,-0.49,0.27,0.24,0.83,1.25,3 no,2020-04-16,3.78,no
69,BLL,-2.31,-1.7,-0.67,-0.53,-0.84,3 no,2020-05-07,,NaN
70,BMY,-2.42,0.96,1.28,1.08,2.15,3 no,2020-05-07,,NaN
71,BR,-3.56,-0.22,-0.6,-4.0,-6.93,3 no,2020-05-08,,NaN
72,BRK.B,,,,,,3 no,,,NaN
73,BSX,-1.19,-2.48,-1.91,6.73,0.4,3 no,2020-04-29,,NaN
74,BWA,-6.98,1.06,-1.29,5.79,-1.1,3 no,2020-05-06,,NaN
75,BXP,0.88,0.25,1.12,2.0,0.53,3 no,2020-04-28,,NaN
76,C,1.63,0.18,-0.06,-0.56,0.68,3 no,2020-04-15,-4.51,yes
77,CAG,7.21,-5.63,3.91,7.26,8.82,1 yes,2020-06-25,,NaN
78,CAH,5.34,-3.34,2.08,5.46,9.24,2 maybe,2020-05-11,,NaN
79,CARR,,,,,,3 no,,,NaN
80,CAT,-7.21,-1.61,-5.16,0.4,-1.15,3 no,2020-04-28,,NaN
81,CB,-2.15,-1.95,-0.16,0.5,3.88,3 no,2020-04-21,-3.96,no
82,CBOE,0.42,0.89,0.87,3.75,-2.29,3 no,2020-05-01,,NaN
83,CBRE,3.28,-1.07,0.92,1.17,-2.28,3 no,2020-05-07,,NaN
84,CCI,0.48,2.09,-4.79,0.62,-8.57,3 no,2020-04-29,,NaN
85,CCL,-7.41,,,,,3 no,,,NaN
86,CDNS,8.28,6.68,-0.92,4.55,0.38,2 maybe,2020-04-20,-1.81,no
87,CDW,1.91,,1.43,3.23,-1.12,3 no,2020-05-06,,NaN
88,CE,-5.52,5.49,0.32,0.35,-2.22,3 no,2020-04-27,,NaN
89,CERN,-0.63,-0.73,-1.0,0.37,3.73,3 no,2020-04-28,,NaN
90,CF,-0.66,-0.83,5.41,,-0.75,3 no,2020-05-06,,NaN
91,CFG,0.88,0.54,3.24,1.3,3.03,3 no,2020-04-17,-4.03,yes
92,CHD,-6.64,-1.23,,-1.11,2.42,3 no,2020-04-30,,NaN
93,CHRW,1.04,-2.94,-3.55,-9.3,-6.87,3 no,2020-04-28,,NaN
94,CHTR,10.38,0.52,-6.29,5.93,2.39,2 maybe,2020-05-01,,NaN
95,CI,,1.1,0.19,1.03,1.83,3 no,2020-04-30,,NaN
96,CINF,-1.61,-0.33,-0.69,0.63,2.51,3 no,2020-04-27,,NaN
97,CL,-1.99,1.3,0.22,-1.69,6.0,3 no,2020-05-01,,NaN
98,CLX,4.07,-3.84,-5.47,0.8,1.89,3 no,2020-05-01,,NaN
99,CMA,2.0,-1.98,-2.45,-2.06,-3.74,3 no,2020-04-21,-5.47,yes
100,CMCSA,3.2,2.33,-1.32,3.26,-1.9,3 no,2020-04-30,,NaN
101,CME,-0.45,-2.34,-1.34,1.44,-1.68,3 no,2020-04-29,,NaN
102,CMG,8.05,0.5,2.83,-2.0,1.0,3 no,2020-04-21,7.92,yes
103,CMI,-1.57,2.07,-6.59,-2.99,2.52,3 no,2020-04-28,,NaN
104,CMS,-1.57,-0.72,0.36,1.6,0.29,3 no,2020-04-27,,NaN
105,CNC,4.71,0.34,-2.28,-1.01,1.94,3 no,2020-04-28,,NaN
106,CNP,-3.11,-0.79,-0.64,-0.52,-1.74,3 no,2020-05-07,,NaN
107,COF,-4.35,3.01,3.68,-0.52,2.75,3 no,2020-04-23,4.12,yes
108,COG,-0.81,3.04,-5.74,0.43,-3.58,3 no,2020-04-30,,NaN
109,COO,3.03,0.21,-7.54,-1.52,-2.45,3 no,2020-05-28,,NaN
110,COP,1.29,1.44,-1.87,0.61,1.4,3 no,2020-04-30,,NaN
111,COST,4.01,-1.06,,,-1.55,3 no,2020-05-28,,NaN
112,COTY,24.08,-4.49,6.48,4.28,9.96,1 yes,2020-05-06,,NaN
113,CPB,3.46,5.77,3.72,-0.19,4.43,3 no,2020-06-03,,NaN
