,0,1,2,3,4,5,6,7,8
0,CI,Before Market Open,2019-02-01,Time Not Supplied,2019-02-01,,,,
1,EVRG,TAS,2019-02-12,TAS,2019-02-22,,,,
2,FISV,TAS,2019-01-16,TAS,2019-02-07,,,,
3,INFO,TAS,2019-01-15,TAS,2019-03-26,,,,
4,ISRG,TAS,2019-01-09,TAS,2019-01-24,,,,
5,LEN,TAS,2019-01-09,TAS,2019-03-27,,,,
6,MKC,TAS,2019-01-24,TAS,2019-03-26,,,,
7,PBCT,TAS,2019-01-17,TAS,2019-01-17,,,,
8,PGR,Before Market Open,2019-01-23,Before Market Open,2019-02-13,Before Market Open,2019-02-27,Before Market Open,2019-03-13
9,PHM,TAS,2019-01-29,TAS,2019-01-29,,,,
10,ROL,Before Market Open,2019-01-22,TAS,2019-01-23,,,,
11,WRK,Before Market Open,2019-01-28,Before Market Open,2019-01-31,,,,
12,ZION,After Market Close,2019-01-21,After Market Close,2019-01-22,,,,
