,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
24,AFINP,American Finance Trust Inc,After Market Close,,,,2020-05-07
1,AFL,Aflac Inc,After Market Close,1.1,,,2020-04-29
2,AFMD,Affimed NV,Before Market Open,,,,2020-04-28
2,AFOM,All for One Media Corp,Time Not Supplied,,,,2020-05-18
49,AGCO,AGCO Corp,Before Market Open,0.42,,,2020-05-05
0,AGHC,Aeon Global Health Corp,Time Not Supplied,,,,2020-06-16
3,AGIO,Agios Pharmaceuticals Inc,Before Market Open,-1.67,,,2020-04-30
25,AGM,Federal Agricultural Mortgage Corp,Before Market Open,2.24,,,2020-04-30
9,AGN,Allergan plc,Before Market Open,3.97,,,2020-05-05
1,AGNCN,AGNC Investment Corp,Time Not Supplied,,,,2020-04-22
4,AGNCO,AGNC Investment Corp,Time Not Supplied,,,,2020-04-22
6,AGNCP,AGNC Investment Corp,After Market Close,,,,2020-04-29
42,AGO,Assured Guaranty Ltd,After Market Close,0.76,,,2020-05-07
11,AGR,Avangrid Inc,After Market Close,0.75,,,2020-04-28
9,AGRO,Adecoagro SA,Time Not Supplied,,,,2020-05-14
14,AGRX,Agile Therapeutics Inc,After Market Close,-0.09,,,2020-05-05
1,AGX,Argan Inc,TAS,-0.01,-0.46,-4500.0,2020-04-14
2,AGX,Argan Inc,After Market Close,-0.08,,,2020-06-08
7,AHC,A. H. Belo Corp,Time Not Supplied,,,,2020-04-14
5,AHH,Armada Hoffler Properties Inc,Before Market Open,0.13,,,2020-04-30
7,AHIX,ALUF Holdings Inc,Time Not Supplied,,,,2020-05-13
40,AHT,Ashford Hospitality Trust Inc,After Market Close,-0.8,,,2020-04-30
0,AIFS,Agent Information Software Inc,Time Not Supplied,,,,2020-04-10
2,AIG,American International Group Inc,After Market Close,0.74,,,2020-05-04
8,AIKI,Aikido Pharma Inc,Before Market Open,,,,2020-05-14
23,AIMC,Altra Industrial Motion Corp,Before Market Open,0.47,,,2020-04-30
4,AIMT,Aimmune Therapeutics Inc,After Market Close,-1.18,,,2020-05-25
19,AIN,Albany International Corp,After Market Close,0.62,,,2020-04-29
2,AINV,Apollo Investment Corp,Time Not Supplied,0.45,,,2020-05-14
39,AIRG,Airgain Inc,After Market Close,-0.1,,,2020-05-07
6,AIRTP,Air T Inc,Time Not Supplied,,,,2020-05-11
42,AIT,Applied Industrial Technologies Inc,Before Market Open,1.03,,,2020-04-30
