,0,1,2,3,4,5,6,7,8
0,CF,TAS,2019-10-30,TAS,2019-10-30,,,,
1,COST,TAS,2019-10-03,TAS,2019-12-12,,,,
2,CTSH,TAS,2019-10-30,TAS,2019-10-30,,,,
3,CTVA,Before Market Open,2019-10-31,TAS,2019-10-31,,,,
4,DIS,Time Not Supplied,2019-11-06,TAS,2019-11-07,,,,
5,DOW,TAS,2019-10-24,Before Market Open,2019-10-24,,,,
6,EQR,TAS,2019-10-22,TAS,2019-10-22,,,,
7,EVRG,Time Not Supplied,2019-11-06,TAS,2019-11-07,,,,
8,FOXA,TAS,2019-11-05,TAS,2019-11-06,Time Not Supplied,2019-11-06,,
9,LIN,TAS,2019-11-12,Time Not Supplied,2019-11-12,,,,
10,NOW,TAS,2019-10-22,TAS,2019-10-23,,,,
11,PAYX,TAS,2019-10-02,TAS,2019-12-18,,,,
12,PGR,TAS,2019-10-16,Before Market Open,2019-11-07,Before Market Open,2019-11-13,TAS,2019-12-11
13,RCL,TAS,2019-10-30,TAS,2019-10-30,,,,
14,ROP,TAS,2019-10-24,TAS,2019-10-24,,,,
15,STE,TAS,2019-11-04,Before Market Open,2019-11-04,,,,
16,VNO,TAS,2019-10-14,TAS,2019-10-28,,,,
17,XRX,After Market Close,2019-10-21,Before Market Open,2019-10-29,,,,
