,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
7,A,Agilent Technologies Inc,TAS,0.85,0.89,4.71,2019-11-25
0,AA,Alcoa Corp,TAS,-0.33,-0.44,-33.33,2019-10-16
21,AAC,AAC Holdings Inc,Before Market Open,-0.35,,,2019-11-07
31,AACG,ATA Creativity Global,After Market Close,,,,2019-11-14
2,AACH,AAC Holdings Inc,Before Market Open,-0.35,,,2019-11-12
9,AAL,American Airlines Group Inc,TAS,1.39,1.42,2.16,2019-10-24
28,AAMC,Altisource Asset Management Corp,TAS,,,,2019-11-06
31,AAME,Atlantic American Corp,Time Not Supplied,,,,2019-11-12
15,AAN,Aaron's Inc,TAS,0.82,0.73,-10.98,2019-11-04
24,AAOI,Applied Optoelectronics Inc,TAS,-0.24,-0.15,37.5,2019-11-06
25,AAOI,Applied Optoelectronics Inc,After Market Close,-0.24,-0.15,37.5,2019-11-06
5,AAON,Aaon Inc,Before Market Open,0.28,0.26,-7.14,2019-10-31
6,AAON,Aaon Inc,TAS,0.28,0.26,-7.14,2019-10-31
15,AAP,Advance Auto Parts Inc,TAS,2.05,2.1,2.44,2019-11-12
22,AAPL,Apple Inc,TAS,2.84,3.03,6.69,2019-10-30
23,AAT,American Assets Trust Inc,TAS,0.27,0.22,-18.52,2019-10-29
41,AAWW,Atlas Air Worldwide Holdings Inc,TAS,1.02,0.37,-63.73,2019-10-30
49,AAXN,Axon Enterprise Inc,TAS,0.26,0.28,7.69,2019-11-07
50,AAXN,Axon Enterprise Inc,Before Market Open,0.26,0.28,7.69,2019-11-07
21,AB,AllianceBernstein Holding LP,TAS,0.63,0.63,,2019-10-24
3,ABBV,AbbVie Inc,TAS,2.3,2.33,1.3,2019-11-01
56,ABC,AmerisourceBergen Corp,TAS,1.58,1.61,1.9,2019-11-07
4,ABCB,Ameris Bancorp,TAS,0.95,0.98,3.16,2019-10-18
45,ABDC,Alcentra Capital Corp,After Market Close,0.2,0.13,-35.0,2019-11-05
15,ABEO,Abeona Therapeutics Inc,TAS,-0.44,-0.35,20.45,2019-11-13
6,ABEOW,Abeona Therapeutics Inc,TAS,,,,2019-11-13
1,ABG,Asbury Automotive Group Inc,TAS,2.32,2.33,0.43,2019-10-22
2,ABG,Asbury Automotive Group Inc,TAS,2.32,2.33,0.43,2019-10-22
0,ABIL,Ability Inc,Before Market Open,,,,2019-12-27
1,ABILF,Ability Inc,Before Market Open,,,,2019-12-27
31,ABIO,ARCA Biopharma Inc,TAS,-1.3,-0.76,41.54,2019-11-06
1,ABM,ABM Industries Inc,TAS,0.62,0.66,6.45,2019-12-18
4,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2019-11-11
39,ABMD,Abiomed Inc,TAS,0.93,0.28,-69.89,2019-10-31
18,ABQQ,Ab International Group Corp,Time Not Supplied,,,,2019-10-28
11,ABR,Arbor Realty Trust Inc,TAS,0.33,0.35,6.06,2019-11-01
3,ABT,Abbott Laboratories,TAS,0.84,0.84,,2019-10-16
4,ABTX,Allegiance Bancshares Inc,TAS,0.66,0.57,-13.64,2019-10-25
5,ABTX,Allegiance Bancshares Inc,Before Market Open,0.66,0.57,-13.64,2019-10-25
20,ABUS,Arbutus Biopharma Corp,TAS,,,,2019-11-06
6,AC,Associated Capital Group Inc,Time Not Supplied,,,,2019-11-11
5,ACA,Arcosa Inc,Time Not Supplied,0.54,0.68,25.93,2019-10-30
39,ACAD,ACADIA Pharmaceuticals Inc,TAS,-0.4,-0.29,27.5,2019-10-30
18,ACBI,Atlantic Capital Bancshares Inc,TAS,0.27,0.33,22.22,2019-10-24
2,ACC,American Campus Communities Inc,TAS,-0.01,0.14,1500.0,2019-10-21
20,ACCO,ACCO Brands Corp,TAS,0.33,0.32,-3.03,2019-10-29
9,ACER,Acer Therapeutics Inc,After Market Close,-0.57,-0.52,8.77,2019-11-13
25,ACFN,Acorn Energy Inc,After Market Close,,,,2019-11-14
19,ACGLP,Arch Capital Group Ltd,TAS,,,,2019-10-29
26,ACGX,Alliance Creative Group Inc,Before Market Open,,,,2019-11-14
52,ACHC,Acadia Healthcare Company Inc,TAS,0.55,0.52,-5.45,2019-11-05
54,ACHN,Achillion Pharmaceuticals Inc,TAS,-0.16,-0.14,12.5,2019-11-07
17,ACHV,Achieve Life Sciences Inc,Before Market Open,-0.3,-0.45,-50.0,2019-11-06
35,ACIA,Acacia Communications Inc,TAS,0.44,0.6,36.36,2019-10-30
14,ACIU,AC Immune SA,TAS,0.17,0.25,47.06,2019-11-13
14,ACIW,ACI Worldwide Inc,TAS,0.13,0.27,107.69,2019-11-07
1,ACLS,Axcelis Technologies Inc,TAS,-0.01,0.02,300.0,2019-10-31
4,ACM,AECOM,TAS,0.8,0.79,-1.25,2019-11-12
40,ACMR,ACM Research Inc,Before Market Open,0.2,0.53,165.0,2019-11-06
1,ACN,Accenture PLC,TAS,1.99,2.09,5.03,2019-12-19
28,ACNB,ACNB Corp,Time Not Supplied,,,,2019-10-30
9,ACOR,Acorda Therapeutics Inc,After Market Close,-0.51,-0.46,9.8,2019-11-04
5,ACRE,Ares Commercial Real Estate Corp,TAS,0.33,0.34,3.03,2019-11-08
63,ACRS,Aclaris Therapeutics Inc,Before Market Open,-0.57,-1.34,-135.09,2019-11-07
10,ACRX,AcelRx Pharmaceuticals Inc,Before Market Open,-0.22,-0.16,27.27,2019-11-06
20,ACTG,Acacia Research Corp,TAS,,,,2019-11-12
2,ACU,Acme United Corp,Time Not Supplied,0.28,0.3,7.14,2019-10-18
3,ACU,Acme United Corp,TAS,0.28,0.3,7.14,2019-10-18
0,ACUR,Acura Pharmaceuticals Inc,Before Market Open,,,,2019-10-01
0,ACV,Allianzgi Diversified Income & Convertible Fund,Time Not Supplied,,,,2019-12-30
35,ADAP,Adaptimmune Therapeutics PLC,Before Market Open,-0.31,-0.36,-16.13,2019-11-06
1,ADBE,Adobe Inc,TAS,2.26,2.29,1.33,2019-12-12
0,ADC,Agree Realty Corp,TAS,0.42,0.48,14.29,2019-10-21
27,ADES,Advanced Emissions Solutions Inc,After Market Close,0.8,0.21,-73.75,2019-11-12
1,ADGO,Advantego Corporation,Before Market Open,,,,2019-11-20
4,ADI,Analog Devices Inc,TAS,1.22,1.19,-2.46,2019-11-18
11,ADM,Archer Daniels Midland Co,TAS,0.69,0.77,11.59,2019-10-31
51,ADMA,ADMA Biologics Inc,After Market Close,-0.23,-0.19,17.39,2019-11-06
28,ADMP,Adamis Pharmaceuticals Corp,TAS,-0.08,-0.12,-50.0,2019-11-12
