,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
19,A,Agilent Technologies Inc,TAS,0.71,0.71,,2019-05-14
1,AA,Alcoa Corp,TAS,-0.13,-0.23,-76.92,2019-04-17
1,AAL,American Airlines Group Inc,TAS,0.51,0.52,1.96,2019-04-26
13,AAMC,Altisource Asset Management Corp,TAS,,,,2019-05-08
13,AAME,Atlantic American Corp,Time Not Supplied,,,,2019-04-01
13,AAME,Atlantic American Corp,Time Not Supplied,,,,2019-05-13
17,AAN,Aaron's Inc,TAS,0.93,1.08,16.13,2019-04-25
12,AAOI,Applied Optoelectronics Inc,TAS,-0.22,-0.27,-22.73,2019-05-08
2,AAON,Aaon Inc,TAS,0.23,0.21,-8.7,2019-05-02
1,AAP,Advance Auto Parts Inc,TAS,2.35,2.46,4.68,2019-05-22
20,AAPL,Apple Inc,TAS,2.36,2.46,4.24,2019-04-30
29,AAT,American Assets Trust Inc,TAS,0.23,0.24,4.35,2019-04-30
31,AAWW,Atlas Air Worldwide Holdings Inc,TAS,0.85,0.98,15.29,2019-05-01
51,AAXN,Axon Enterprise Inc,TAS,0.16,0.21,31.25,2019-05-09
20,AB,AllianceBernstein Holding LP,TAS,0.54,0.49,-9.26,2019-04-25
4,ABBV,AbbVie Inc,TAS,2.05,2.14,4.39,2019-04-25
51,ABC,AmerisourceBergen Corp,TAS,1.95,2.11,8.21,2019-05-02
9,ABCB,Ameris Bancorp,TAS,0.93,0.9,-3.23,2019-04-23
0,ABCP,AmBase Corp,Time Not Supplied,,,,2019-05-13
35,ABDC,Alcentra Capital Corp,TAS,0.22,0.22,,2019-05-07
18,ABEO,Abeona Therapeutics Inc,TAS,-0.32,-0.39,-21.88,2019-05-14
12,ABEOW,Abeona Therapeutics Inc,TAS,,,,2019-05-14
2,ABG,Asbury Automotive Group Inc,TAS,1.92,2.2,14.58,2019-04-23
17,ABIL,Ability Inc,Before Market Open,,,,2019-04-24
11,ABIO,ARCA Biopharma Inc,TAS,-1.98,-1.86,6.06,2019-05-08
5,ABM,ABM Industries Inc,TAS,0.41,0.47,14.63,2019-06-05
8,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2019-04-18
3,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2019-05-20
48,ABMD,Abiomed Inc,TAS,1.08,1.09,0.93,2019-05-02
4,ABR,Arbor Realty Trust Inc,TAS,0.28,0.26,-7.14,2019-05-10
3,ABT,Abbott Laboratories,TAS,0.61,0.63,3.28,2019-04-17
5,ABTO,AB&T Financial Corp,Time Not Supplied,,,,2019-04-25
4,ABTX,Allegiance Bancshares Inc,TAS,0.65,0.58,-10.77,2019-04-26
4,ABUS,Arbutus Biopharma Corp,TAS,,,,2019-05-06
22,AC,Associated Capital Group Inc,Time Not Supplied,-0.13,0.04,130.77,2019-05-07
0,ACA,Arcosa Inc,TAS,0.33,0.58,75.76,2019-05-03
33,ACAD,ACADIA Pharmaceuticals Inc,TAS,-0.52,-0.59,-13.46,2019-05-01
18,ACBI,Atlantic Capital Bancshares Inc,TAS,0.29,0.26,-10.34,2019-04-25
2,ACC,American Campus Communities Inc,TAS,0.22,0.21,-4.55,2019-04-22
41,ACCO,ACCO Brands Corp,TAS,0.06,0.08,33.33,2019-05-02
13,ACER,Acer Therapeutics Inc,After Market Close,-0.82,-0.79,3.66,2019-05-14
10,ACFN,Acorn Energy Inc,TAS,,,,2019-05-16
33,ACGLP,Arch Capital Group Ltd,TAS,0.62,0.67,8.06,2019-04-30
35,ACHC,Acadia Healthcare Company Inc,TAS,0.35,0.39,11.43,2019-04-30
49,ACHN,Achillion Pharmaceuticals Inc,TAS,-0.14,-0.14,,2019-05-09
8,ACHV,Achieve Life Sciences Inc,TAS,-0.63,-0.88,-39.68,2019-05-15
46,ACIA,Acacia Communications Inc,TAS,0.28,0.37,32.14,2019-05-02
19,ACIU,AC Immune SA,TAS,1.21,0.92,-23.97,2019-05-15
10,ACIW,ACI Worldwide Inc,TAS,-0.11,-0.22,-100.0,2019-05-09
8,ACLS,Axcelis Technologies Inc,TAS,0.11,0.18,63.64,2019-05-07
9,ACM,AECOM,TAS,0.63,0.69,9.52,2019-05-08
